benchmark,kernel_cpu_millis,user_cpu_millis,wall_clock_millis
ls /dev,0,0,2.6430640000000003
ls /dev,0,0,3.570814
ls /dev,10,0,4.339951
ls /etc,0,0,4.27554
ls /etc,0,0,3.8821429999999997
ls /dev,0,0,3.605078
ls /dev,0,10,2.786768
ls /dev,10,0,3.0019769999999997
ls /etc,0,0,3.050446
ls /etc,0,0,2.029106
ls /etc,0,0,2.0722929999999997
ls /dev,0,0,2.139802
ls /etc,0,0,1.824143
ls /dev,0,0,2.1315589999999998
ls /etc,0,0,2.110753
ls /dev,10,0,2.110324
ls /dev,0,0,1.7658960000000001
ls /dev,0,0,1.743517
ls /etc,0,10,2.9581239999999998
ls /etc,0,0,2.254255
ls /dev,0,0,2.010476
ls /dev,0,0,2.317923
ls /etc,10,0,2.487984
ls /dev,0,0,1.828095
ls /dev,0,0,1.816368
ls /dev,0,0,1.7803980000000001
ls /etc,0,0,1.9752950000000002
ls /etc,0,0,1.80266
ls /dev,0,0,1.808408
ls /etc,10,0,2.125613
ls /etc,0,0,2.309765
ls /dev,0,0,2.369979
ls /etc,0,0,2.086614
ls /dev,0,0,2.1842849999999996
ls /dev,10,0,2.184123
ls /etc,0,0,1.9986050000000002
ls /etc,0,10,2.087832
ls /dev,0,0,2.190843
ls /etc,0,0,2.4892299999999996
ls /dev,0,0,2.4704
ls /dev,0,0,2.006902
ls /etc,0,0,2.059395
ls /dev,0,0,1.87225
ls /etc,10,0,1.794069
ls /etc,0,0,1.7804749999999998
ls /etc,0,0,1.785147
ls /dev,0,0,1.88139
ls /etc,0,0,2.178824
ls /dev,0,0,2.282759
ls /etc,0,0,2.1447049999999996
ls /dev,0,0,2.3075840000000003
ls /etc,10,0,1.894841
ls /dev,0,10,1.8391600000000001
ls /dev,0,0,1.755059
ls /dev,0,0,2.0645759999999997
ls /dev,0,0,1.942729
ls /dev,0,0,2.355146
ls /dev,0,0,2.221709
ls /etc,0,0,1.993847
ls /dev,0,0,1.970745
ls /dev,10,0,1.989935
